City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Kushmurun,KZ,52.4503,64.6311,64.18,68,28,11.92,scattered clouds
264,Sherlovaya Gora,RU,50.5667,116.25,63.66,70,92,4.29,overcast clouds
265,Gravdal,NO,68.1214,13.5031,48.09,93,20,5.75,few clouds
266,Richards Bay,ZA,-28.783,32.0377,64.35,76,0,13.87,clear sky
267,Bathsheba,BB,13.2167,-59.5167,84.81,83,40,20.71,scattered clouds
268,Luena,AO,-11.7833,19.9167,62.96,38,14,3.98,few clouds
269,Ancud,CL,-41.8697,-73.8203,46.22,84,97,4.03,overcast clouds
270,Januaria,BR,-15.4833,-44.3667,78.76,29,0,3.2,clear sky
271,Pisco,PE,-13.7,-76.2167,64.45,72,0,3.44,clear sky
272,Carnarvon,AU,-24.8667,113.6333,66.45,68,100,19.37,overcast clouds
273,Menongue,AO,-14.6585,17.691,63.68,32,99,1.39,overcast clouds
274,Moberly,US,39.4184,-92.4382,96.42,54,0,10.0,clear sky
275,Najran,SA,17.4924,44.1277,77.65,70,65,8.08,broken clouds
276,Khomutovo,RU,52.4658,104.4025,56.01,95,100,1.5,overcast clouds
277,Santa Maria Del Tule,MX,17.0333,-96.6167,81.95,26,100,8.05,overcast clouds
278,Grand Gaube,MU,-20.0064,57.6608,68.4,75,0,3.0,clear sky
279,Asau,RO,46.4333,26.4,61.72,65,1,4.43,clear sky
280,Broken Hill,AU,-31.95,141.4333,57.33,57,1,19.51,clear sky
281,Ailigandi,PA,9.2333,-78.0167,80.91,82,100,2.39,overcast clouds
282,Pahrump,US,36.2083,-115.9839,98.65,30,29,5.01,scattered clouds
283,Namwala,ZM,-15.7504,26.4384,61.79,61,4,6.91,clear sky
284,Bandiagara,ML,14.3501,-3.6104,86.72,49,100,0.81,overcast clouds
285,Rio Grande,BR,-32.035,-52.0986,57.31,91,34,9.01,scattered clouds
286,Turbat,PK,26.0023,63.044,84.15,80,58,6.17,broken clouds
287,Necochea,AR,-38.5473,-58.7368,53.56,81,100,5.41,overcast clouds
288,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,46,0,10.36,clear sky
289,Oksovskiy,RU,62.6062,39.8984,62.64,81,100,7.96,overcast clouds
290,Sisimiut,GL,66.9395,-53.6735,42.96,95,100,8.77,light rain
291,Batagay,RU,67.6333,134.6333,52.05,77,71,5.73,broken clouds
292,Neiafu,TO,-18.65,-173.9833,77.68,88,40,9.22,scattered clouds
293,Smithers,CA,54.7804,-127.1743,59.32,72,100,2.3,overcast clouds
294,Dingle,PH,10.9995,122.6711,75.9,90,97,5.12,overcast clouds
295,Port Augusta,AU,-32.5,137.7667,53.89,86,58,10.56,broken clouds
296,Tomatlan,MX,19.9333,-105.25,90.73,57,30,7.47,scattered clouds
297,Rovaniemi,FI,66.5,25.7167,58.41,88,40,9.22,scattered clouds
298,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,86.41,23,5,3.4,clear sky
299,Srandakan,ID,-7.9386,110.2506,74.17,93,86,3.24,overcast clouds
300,Talaya,RU,61.3833,152.75,64.29,62,100,9.42,overcast clouds
