City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Talaya,RU,2022-08-02 20:00:22,61.3833,152.75,57.61,77,100,9.04
183,Palmer,US,2022-08-02 19:57:30,42.1584,-72.3287,89.51,64,71,1.01
184,Coihaique,CL,2022-08-02 20:00:23,-45.5752,-72.0662,40.6,93,100,6.6
185,Tairua,NZ,2022-08-02 20:01:23,-37.0167,175.85,53.49,88,100,6.13
186,Patrocinio,BR,2022-08-02 20:01:24,-18.9439,-46.9925,75.69,39,100,8.34
187,Katsuura,JP,2022-08-02 19:58:01,35.1333,140.3,79.65,94,86,12.01
188,Kroya,ID,2022-08-02 20:01:24,-7.6331,109.2461,74.21,91,100,3.0
189,Napanee,CA,2022-08-02 20:01:25,44.2501,-76.9494,78.58,57,75,9.08
190,Aksum,ET,2022-08-02 20:01:25,14.1245,38.7244,57.25,88,100,4.25
191,Saint George,US,2022-08-02 19:57:57,37.1041,-113.5841,99.25,28,59,8.01
192,Ugoofaaru,MV,2022-08-02 20:01:25,5.6667,73.0,80.85,77,100,21.45
193,Steinbach,DE,2022-08-02 20:01:26,50.1667,8.5667,78.33,43,0,4.61
194,Tomatlan,MX,2022-08-02 20:01:26,19.9333,-105.25,92.43,50,31,6.2
195,Le Port,RE,2022-08-02 20:01:26,-20.9373,55.2919,66.25,79,31,1.39
196,Chapada Dos Guimaraes,BR,2022-08-02 20:00:14,-15.4606,-55.7497,89.46,14,55,3.78
197,Fortuna,US,2022-08-02 19:55:36,40.5982,-124.1573,73.92,71,20,14.97
198,Glenwood Springs,US,2022-08-02 20:01:27,39.5505,-107.3248,88.72,47,40,9.22
199,Kungurtug,RU,2022-08-02 20:01:27,50.5994,97.5228,51.55,87,74,2.19
200,Itarema,BR,2022-08-02 20:00:46,-2.9248,-39.9167,80.15,74,53,14.76
201,Hoquiam,US,2022-08-02 20:01:28,46.9809,-123.8893,72.45,64,20,12.66
202,Auki,SB,2022-08-02 20:00:26,-8.7676,160.7034,76.5,89,28,5.19
203,Tynda,RU,2022-08-02 20:01:28,55.1667,124.7167,56.28,98,17,0.85
204,Lamas,PE,2022-08-02 20:01:28,-6.4167,-76.5333,79.57,61,70,3.22
205,Birao,CF,2022-08-02 20:01:29,10.2849,22.7882,72.14,93,32,5.32
206,Marzuq,YE,2022-08-02 20:01:29,14.4,46.4667,79.95,53,25,5.46
207,Floro,NO,2022-08-02 20:01:29,61.5996,5.0328,59.97,100,75,23.02
208,Nanortalik,GL,2022-08-02 20:01:30,60.1432,-45.2371,47.82,79,38,12.77
209,Port Blair,IN,2022-08-02 20:01:30,11.6667,92.75,77.61,93,100,21.12
210,Los Llanos De Aridane,ES,2022-08-02 20:01:30,28.6585,-17.9182,69.55,78,40,18.41
211,Jurm,AF,2022-08-02 20:01:31,36.8648,70.8342,66.43,49,50,2.26
212,Oktyabrskoye,RU,2022-08-02 20:01:31,43.0645,44.7417,68.14,77,9,6.71
213,Bontang,ID,2022-08-02 20:01:31,0.1333,117.5,76.93,86,100,1.43
214,Cabo San Lucas,MX,2022-08-02 19:56:57,22.8909,-109.9124,94.6,66,26,5.12
215,Turangi,NZ,2022-08-02 20:01:32,-39.0,175.9333,43.09,98,100,3.83
216,Susanville,US,2022-08-02 20:01:32,40.4163,-120.653,88.92,31,0,9.22
217,Esperance,AU,2022-08-02 19:59:14,-33.8667,121.9,49.84,67,29,34.81
218,Atuona,PF,2022-08-02 19:50:26,-9.8,-139.0333,77.04,75,0,18.54
219,Pauini,BR,2022-08-02 20:01:32,-7.7136,-66.9764,89.89,47,100,2.17
220,Cleveland,US,2022-08-02 20:00:38,41.4995,-81.6954,82.08,66,40,8.05
221,Neftcala,AZ,2022-08-02 20:01:33,39.3742,49.2472,79.07,71,1,6.13
222,Daura,NG,2022-08-02 20:01:33,11.5538,11.4085,69.71,91,89,8.9
223,Tazmalt,DZ,2022-08-02 20:01:33,36.3868,4.3989,78.26,41,2,5.91
224,Kasongo-Lunda,CD,2022-08-02 20:01:34,-6.4667,16.8167,80.96,38,62,3.6
225,New Norfolk,AU,2022-08-02 19:56:54,-42.7826,147.0587,52.92,77,100,1.99
226,Pascagoula,US,2022-08-02 20:01:34,30.3658,-88.5561,84.25,78,100,4.9
227,Porto Novo,BJ,2022-08-02 20:00:33,6.4965,2.6036,75.09,76,100,7.65
228,Baruun-Urt,MN,2022-08-02 19:58:05,46.6806,113.2792,63.57,82,5,1.16
229,Mezhdurechensk,RU,2022-08-02 20:01:35,53.6942,88.0603,56.1,97,91,2.73
230,Paris,FR,2022-08-02 20:00:01,48.8534,2.3488,84.15,49,0,3.44
231,Mumford,GH,2022-08-02 20:02:35,5.2618,-0.759,72.61,84,17,10.27
